J         CT        CP        eta
0.333913  0.071653  0.034510  0.693309
0.359762  0.065770  0.033095  0.714965
0.373361  0.061892  0.031991  0.722332
0.392495  0.056601  0.030368  0.731540
0.413002  0.051841  0.028904  0.740750
0.433129  0.046902  0.027258  0.745260
0.452355  0.042453  0.025746  0.745882
0.473059  0.037347  0.023903  0.739115
0.494232  0.032514  0.022177  0.724583
0.515098  0.027579  0.020350  0.698042
0.533862  0.023112  0.018630  0.662306
0.554337  0.018253  0.016692  0.606157
0.573423  0.013719  0.014801  0.531494
0.592478  0.009348  0.012900  0.429335
0.614674  0.004821  0.010874  0.272495
0.633612 -0.000128  0.008654 -0.009375
0.653931 -0.005268  0.006382 -0.539817
0.653026 -0.005244  0.006368 -0.537850
0.653026 -0.005244  0.006368 -0.537850
0.653026 -0.005244  0.006368 -0.537850
0.653026 -0.005244  0.006368 -0.537850
0.653026 -0.005244  0.006368 -0.537850
0.653026 -0.005244  0.006368 -0.537850
0.653026 -0.005244  0.006368 -0.537850
