J         CT        CP        eta
0.439597  0.110455  0.087227  0.556658
0.465970  0.109763  0.087025  0.587721
0.493099  0.110648  0.087616  0.622725
0.519203  0.108929  0.087174  0.648772
0.547494  0.109216  0.087756  0.681378
0.573685  0.107553  0.087792  0.702823
0.598244  0.104252  0.087356  0.713960
0.627784  0.101189  0.087993  0.721931
0.651848  0.096660  0.087137  0.723087
0.680045  0.092916  0.086409  0.731257
0.707480  0.091050  0.086416  0.745422
0.732560  0.088363  0.085830  0.754183
0.756467  0.084731  0.084610  0.757550
0.783966  0.081988  0.084257  0.762853
0.811149  0.078463  0.082959  0.767193
0.835723  0.074948  0.081532  0.768243
0.860875  0.071276  0.079882  0.768128
0.888629  0.068177  0.078642  0.770379
0.913902  0.065168  0.077108  0.772393
0.936244  0.061853  0.075361  0.768439
0.962733  0.058988  0.073813  0.769381
0.987036  0.055433  0.071676  0.763369
1.011119  0.052076  0.069432  0.758369
1.034673  0.048820  0.067295  0.750629
