J         CT        CP        eta
0.529207  0.055276  0.037070  0.789100
0.563341  0.050241  0.035288  0.802042
0.588629  0.045700  0.033491  0.803195
0.627390  0.039379  0.030709  0.804500
0.659853  0.033510  0.027883  0.793008
0.689100  0.026371  0.023898  0.760398
0.719912  0.019208  0.019798  0.698450
0.753416  0.011821  0.015392  0.578568
0.786527  0.004225  0.010773  0.308436
0.821294 -0.003178  0.006208 -0.420562
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
0.821991 -0.003266  0.006160 -0.435808
