J         CT        CP        eta
0.185526  0.092204  0.050004  0.342093
0.233631  0.089051  0.049721  0.418437
0.282043  0.084737  0.049181  0.485953
0.327314  0.078902  0.047784  0.540468
0.376630  0.073476  0.046992  0.588903
0.423016  0.067059  0.045221  0.627302
0.468135  0.060012  0.042814  0.656176
0.517015  0.051776  0.039592  0.676125
0.565294  0.043318  0.036122  0.677918
0.611605  0.034757  0.032090  0.662430
0.680062  0.021474  0.025100  0.581827
0.714861  0.015193  0.021476  0.505722
0.756570  0.007771  0.017098  0.343577
0.819335 -0.004110  0.009430 -0.357144
0.822883 -0.004158  0.009407 -0.363690
0.822883 -0.004158  0.009407 -0.363690
0.822883 -0.004158  0.009407 -0.363690
