J         CT        CP        eta
0.362671  0.114718  0.072369  0.574899
0.384540  0.114029  0.072353  0.606038
0.405429  0.113454  0.072763  0.632154
0.427806  0.112540  0.073216  0.657584
0.449550  0.110793  0.073384  0.678715
0.471892  0.108814  0.073598  0.697691
0.492809  0.106827  0.073769  0.713650
0.515046  0.103961  0.073618  0.727332
0.536067  0.101399  0.073507  0.739482
0.558686  0.098182  0.073313  0.748205
0.579884  0.094962  0.073040  0.753923
0.601984  0.091581  0.072601  0.759360
0.623439  0.087554  0.071672  0.761586
0.646234  0.084250  0.071122  0.765526
0.665793  0.080353  0.069843  0.765988
0.688919  0.076696  0.068800  0.767982
0.709810  0.073383  0.067663  0.769807
0.733190  0.069882  0.066479  0.770717
0.756532  0.066070  0.064950  0.769580
0.777417  0.062959  0.063705  0.768313
0.797778  0.058990  0.061858  0.760780
0.819690  0.055276  0.060105  0.753830
0.841562  0.051765  0.058403  0.745911
0.865616  0.047705  0.056248  0.734143
