J         CT        CP        eta
0.100409  0.105953  0.060154  0.176856
0.119198  0.106070  0.059934  0.210955
0.140345  0.106167  0.059471  0.250544
0.154569  0.105997  0.059000  0.277693
0.176579  0.105875  0.058650  0.318762
0.194624  0.105561  0.058381  0.351906
0.211752  0.105532  0.057920  0.385819
0.230794  0.104656  0.057399  0.420802
0.247391  0.104374  0.057330  0.450398
0.267180  0.104049  0.057449  0.483899
0.286490  0.103368  0.057483  0.515181
0.304403  0.103020  0.057716  0.543342
0.322633  0.102229  0.057704  0.571584
0.342756  0.101682  0.057902  0.601922
0.361116  0.100548  0.057772  0.628494
