J         CT        CP        eta
0.130162  0.064023  0.023608  0.352993
0.164855  0.060978  0.023498  0.427798
0.199128  0.057153  0.023125  0.492144
0.231746  0.052902  0.022469  0.545622
0.265279  0.048590  0.021768  0.592162
0.299006  0.043872  0.020899  0.627687
0.332905  0.038928  0.019797  0.654597
0.365843  0.032872  0.018102  0.664350
0.398721  0.026833  0.016236  0.658958
0.436150  0.019182  0.013569  0.616553
0.473548  0.012108  0.011020  0.520323
0.506875  0.004900  0.008083  0.307247
0.505695  0.004919  0.008057  0.308702
0.505695  0.004919  0.008057  0.308702
0.505695  0.004919  0.008057  0.308702
0.505695  0.004919  0.008057  0.308702
0.505695  0.004919  0.008057  0.308702
