J         CT        CP        eta
0.500557  0.092446  0.063389  0.730015
0.529286  0.087066  0.062176  0.741171
0.558020  0.082089  0.060929  0.751826
0.587751  0.077623  0.059693  0.764293
0.618948  0.072166  0.057804  0.772735
0.648445  0.067967  0.056346  0.782180
0.678732  0.062581  0.054000  0.786604
0.706141  0.057008  0.051340  0.784116
0.739260  0.051277  0.048660  0.779034
0.769421  0.045604  0.045667  0.768367
0.798260  0.039955  0.042445  0.751440
0.828649  0.033866  0.038831  0.722720
0.858573  0.027939  0.035195  0.681567
0.887269  0.021103  0.030718  0.609550
0.919598  0.014529  0.026501  0.504189
0.947809  0.007081  0.021312  0.314952
0.979145 -0.000127  0.016249 -0.007659
1.006481 -0.008595  0.009746 -0.887633
1.004454 -0.008459  0.009748 -0.871613
1.004454 -0.008459  0.009748 -0.871613
1.004454 -0.008459  0.009748 -0.871613
1.004454 -0.008459  0.009748 -0.871613
1.004454 -0.008459  0.009748 -0.871613
1.004454 -0.008459  0.009748 -0.871613
