J         CT        CP        eta
0.111927  0.094848  0.033717  0.314857
0.141046  0.091298  0.034028  0.378431
0.171540  0.085856  0.033796  0.435782
0.200697  0.080034  0.033159  0.484411
0.231072  0.073380  0.032065  0.528808
0.260973  0.066340  0.030603  0.565716
0.292675  0.059225  0.028794  0.601994
0.322648  0.054125  0.027521  0.634544
0.350825  0.048336  0.025778  0.657812
0.383269  0.042360  0.023878  0.679907
0.413065  0.036611  0.022032  0.686410
0.444427  0.031168  0.020190  0.686071
0.470744  0.026371  0.018549  0.669246
0.505121  0.020152  0.016488  0.617362
0.530346  0.015063  0.014621  0.546396
0.564975  0.008429  0.012206  0.390139
0.593284  0.002396  0.009808  0.144948
