J         CT        CP        eta
0.297494  0.068744  0.030063  0.680269
0.317539  0.065929  0.029745  0.703817
0.334846  0.062217  0.028963  0.719306
0.352590  0.058738  0.028221  0.733869
0.370964  0.055126  0.027381  0.746864
0.388233  0.051518  0.026407  0.757397
0.406162  0.047845  0.025409  0.764800
0.424071  0.044443  0.024468  0.770271
0.440173  0.040579  0.023276  0.767407
0.458796  0.036910  0.022180  0.763480
0.477770  0.032265  0.020544  0.750339
0.494584  0.029079  0.019252  0.747042
0.513862  0.025415  0.017892  0.729922
0.532153  0.021180  0.016033  0.703000
0.549346  0.017339  0.014359  0.663353
0.568736  0.013191  0.012483  0.600989
0.587594  0.009026  0.010515  0.504357
0.605567  0.005062  0.008603  0.356351
0.623438  0.000702  0.006441  0.067898
0.621700  0.000723  0.006422  0.069960
0.621700  0.000723  0.006422  0.069960
0.621700  0.000723  0.006422  0.069960
0.621700  0.000723  0.006422  0.069960
0.621700  0.000723  0.006422  0.069960
