J         CT        CP        eta
0.574500  0.079111  0.060264  0.754166
0.606159  0.074225  0.058569  0.768184
0.641175  0.069684  0.057036  0.783351
0.674265  0.064733  0.054972  0.793983
0.705571  0.059443  0.052535  0.798355
0.737540  0.053872  0.049708  0.799305
0.775158  0.048105  0.046719  0.798141
0.805848  0.042425  0.043325  0.789108
0.847052  0.036373  0.039724  0.775579
0.877983  0.030260  0.035587  0.746561
0.910003  0.024145  0.031276  0.702512
0.939572  0.018294  0.027004  0.636516
0.975805  0.011041  0.021677  0.497010
1.010927  0.003419  0.015964  0.216534
1.046309 -0.004493  0.010005 -0.469819
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
1.048388 -0.004495  0.010054 -0.468683
