J         CT        CP        eta
0.402100  0.030486  0.018627  0.658079
0.427117  0.025831  0.017361  0.635477
0.451445  0.020877  0.015864  0.594067
0.475252  0.015842  0.014254  0.528161
0.497765  0.010486  0.012408  0.420614
0.522247  0.005313  0.010587  0.262049
0.547715 -0.000395  0.008509 -0.025488
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
0.548150 -0.000461  0.008491 -0.029791
