J         CT        CP        eta
0.258994  0.069137  0.027641  0.647802
0.276310  0.066832  0.027436  0.673063
0.292530  0.064312  0.027125  0.693581
0.309333  0.061260  0.026588  0.712715
0.325193  0.058723  0.026174  0.729594
0.341013  0.055864  0.025629  0.743315
0.357231  0.053049  0.025052  0.756453
0.372856  0.049805  0.024317  0.763678
0.387752  0.046763  0.023592  0.768597
0.402924  0.043949  0.022940  0.771941
0.421026  0.040172  0.021929  0.771290
0.436782  0.036796  0.020949  0.767190
0.453146  0.033453  0.019910  0.761373
0.469443  0.030088  0.018812  0.750844
0.488063  0.025989  0.017385  0.729596
0.503311  0.022142  0.015894  0.701158
0.519975  0.018780  0.014440  0.676240
0.534483  0.015360  0.012999  0.631534
0.552228  0.011257  0.011286  0.550762
0.568782  0.007192  0.009510  0.430130
0.585701  0.003121  0.007680  0.237989
0.584095  0.003103  0.007641  0.237225
0.584095  0.003103  0.007641  0.237225
0.584095  0.003103  0.007641  0.237225
