J         CT        CP        eta
0.376504  0.077418  0.039211  0.743356
0.403505  0.073969  0.038974  0.765807
0.425657  0.069315  0.037918  0.778130
0.448050  0.065473  0.037035  0.792099
0.470937  0.061097  0.035824  0.803173
0.493551  0.057113  0.034681  0.812765
0.511436  0.052256  0.032899  0.812352
0.534613  0.048626  0.031746  0.818885
0.553780  0.043797  0.029836  0.812900
0.574145  0.039032  0.027841  0.804931
0.601256  0.033522  0.025550  0.788837
0.620922  0.029508  0.023572  0.777276
0.649432  0.023687  0.020730  0.742041
0.674230  0.018570  0.018042  0.693949
0.694586  0.013735  0.015380  0.620316
0.714839  0.009087  0.012745  0.509671
0.740802  0.003499  0.009688  0.267543
0.766566 -0.001816  0.006869 -0.202722
0.766347 -0.001832  0.006855 -0.204840
0.766347 -0.001832  0.006855 -0.204840
0.766347 -0.001832  0.006855 -0.204840
0.766347 -0.001832  0.006855 -0.204840
0.766347 -0.001832  0.006855 -0.204840
0.766347 -0.001832  0.006855 -0.204840
