J         CT        CP        eta
0.112809  0.081896  0.031247  0.295667
0.138550  0.079030  0.031062  0.352507
0.163080  0.076264  0.030856  0.403063
0.186387  0.074123  0.030775  0.448924
0.211807  0.071114  0.030456  0.494562
0.233262  0.068544  0.030110  0.531016
0.258957  0.065606  0.029744  0.571181
0.282076  0.062367  0.029103  0.604478
0.305112  0.059320  0.028551  0.633935
0.329389  0.056302  0.028060  0.660923
0.352302  0.052889  0.027327  0.681836
0.377450  0.049160  0.026476  0.700851
0.398682  0.045601  0.025545  0.711693
0.424593  0.041467  0.024397  0.721675
0.449195  0.037512  0.023187  0.726708
0.472797  0.033263  0.021739  0.723411
