J         CT        CP        eta
0.123990  0.075305  0.032441  0.287821
0.156969  0.072388  0.032353  0.351212
0.187369  0.069455  0.032171  0.404517
0.220164  0.065503  0.031765  0.453997
0.251864  0.061052  0.031210  0.492682
0.282415  0.056419  0.030466  0.522989
0.313845  0.051471  0.029580  0.546103
0.347503  0.045933  0.028361  0.562810
0.378303  0.040739  0.027086  0.568997
0.410875  0.034785  0.025507  0.560325
0.443967  0.028503  0.023490  0.538724
0.474677  0.022331  0.021306  0.497516
0.507425  0.016202  0.019070  0.431112
0.539284  0.009668  0.016429  0.317361
0.575234  0.001638  0.013071  0.072062
0.604543 -0.004501  0.010386 -0.262013
0.636602 -0.010740  0.007443 -0.918697
