J         CT        CP        eta
0.166236  0.112066  0.047937  0.388623
0.189008  0.110391  0.048277  0.432190
0.214087  0.109054  0.048944  0.477018
0.235195  0.107852  0.049440  0.513068
0.260841  0.106069  0.049995  0.553393
0.281248  0.104258  0.050207  0.584033
0.305227  0.102699  0.050706  0.618198
0.328200  0.100779  0.050987  0.648699
0.351123  0.098582  0.051125  0.677057
0.373795  0.095811  0.051024  0.701891
0.396380  0.093662  0.051178  0.725430
0.420368  0.090815  0.051086  0.747286
0.443810  0.087810  0.050875  0.766019
