J         CT        CP        eta
0.284859  0.073082  0.032543  0.639696
0.300841  0.069605  0.031967  0.655037
0.318530  0.065808  0.031210  0.671636
0.334664  0.062249  0.030409  0.685071
0.350282  0.058672  0.029534  0.695866
0.367670  0.054562  0.028415  0.706001
0.385405  0.050437  0.027243  0.713520
0.403608  0.046249  0.025957  0.719134
0.420496  0.042168  0.024652  0.719268
0.438207  0.038050  0.023322  0.714919
0.455837  0.033937  0.021947  0.704849
0.472980  0.030231  0.020639  0.692778
0.492191  0.026470  0.018999  0.685724
0.504629  0.023959  0.018018  0.670996
0.523562  0.019936  0.016434  0.635118
0.543274  0.015928  0.014759  0.586284
0.560355  0.012149  0.013067  0.520964
0.577140  0.008623  0.011231  0.443135
0.594034  0.004995  0.009515  0.311822
0.609775  0.001437  0.007810  0.112222
0.609748  0.001466  0.007824  0.114251
0.609748  0.001466  0.007824  0.114251
0.609748  0.001466  0.007824  0.114251
0.609748  0.001466  0.007824  0.114251
