J         CT        CP        eta
0.138189  0.127395  0.130188  0.135225
0.166148  0.126763  0.128512  0.163886
0.196126  0.127485  0.126249  0.198045
0.222930  0.125810  0.122871  0.228264
0.254690  0.125886  0.120701  0.265629
0.281346  0.124062  0.116099  0.300643
0.309985  0.122926  0.113920  0.334489
0.339378  0.122554  0.112655  0.369198
0.368221  0.121163  0.110885  0.402351
0.395233  0.119743  0.108733  0.435256
0.424159  0.118343  0.107689  0.466124
0.453197  0.117643  0.107266  0.497038
0.480621  0.116184  0.105803  0.527773
0.509531  0.116046  0.105804  0.558852
0.539560  0.116794  0.106851  0.589764
0.569087  0.116565  0.107274  0.618375
