J         CT        CP        eta
0.124597  0.100681  0.035862  0.349787
0.145137  0.099280  0.036315  0.396767
0.160294  0.097531  0.036375  0.429766
0.187270  0.094712  0.036550  0.485243
0.206402  0.093354  0.036862  0.522720
0.227633  0.090660  0.036806  0.560691
0.247629  0.088928  0.037008  0.595029
0.265754  0.087012  0.037069  0.623805
0.288187  0.084956  0.037309  0.656229
0.308968  0.081907  0.037067  0.682734
0.328726  0.079163  0.036903  0.705163
0.350322  0.076072  0.036650  0.727141
0.371089  0.072488  0.036087  0.745411
0.390437  0.068714  0.035325  0.759485
