J         CT        CP        eta
0.257544  0.085100  0.034759  0.630527
0.271600  0.083269  0.034695  0.651855
0.288206  0.081441  0.034734  0.675765
0.306338  0.079450  0.034778  0.699829
0.321786  0.076397  0.034271  0.717327
0.338747  0.074090  0.034100  0.736016
0.356564  0.071641  0.033853  0.754563
0.372573  0.068948  0.033407  0.768958
0.388613  0.066418  0.032975  0.782735
0.404398  0.063626  0.032411  0.793881
0.418644  0.060887  0.031763  0.802485
0.433247  0.058136  0.031033  0.811624
0.447601  0.054974  0.030115  0.817083
0.463198  0.051048  0.028885  0.818591
0.479032  0.047177  0.027685  0.816289
0.496369  0.043292  0.026436  0.812833
0.513081  0.038986  0.024876  0.804106
0.529811  0.034816  0.023232  0.793996
0.545398  0.030820  0.021618  0.777552
0.569711  0.024491  0.018985  0.734935
0.582643  0.021307  0.017589  0.705799
0.598384  0.016585  0.015377  0.645386
0.613118  0.013616  0.013937  0.599005
0.636422  0.008203  0.011308  0.461634
